local,visitante,fecha,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,faltas_local,faltas_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,local_encoded,visitante_encoded,tarjetas_totales,score
Independiente del Valle,CD Tecnico Universitario,2020-11-21,5,2,0.0,0.0,0.65,0.35,16.0,13.0,4.0,2.0,7,8,7.0,1 - 0
LDU Portoviejo,Orense SC,2020-11-19,3,1,0.0,0.0,0.56,0.44,15.0,17.0,3.0,4.0,3,15,4.0,1 - 2
El Nacional,Universidad Catolica,2020-11-19,3,0,0.0,0.0,0.46,0.54,15.0,17.0,1.0,3.0,2,13,3.0,0 - 2
LDU de Quito,Emelec,2020-11-18,3,2,0.0,0.0,0.52,0.48,22.0,18.0,3.0,3.0,5,4,5.0,1 - 2
CD Tecnico Universitario,CSD Macara,2020-11-18,3,4,0.0,0.0,0.45,0.55,14.0,18.0,3.0,3.0,8,14,7.0,0 - 1
Aucas,Independiente del Valle,2020-11-18,4,5,1.0,1.0,0.6,0.4,16.0,8.0,9.0,8.0,12,7,11.0,3 - 3
El Nacional,Barcelona SC,2020-11-15,3,2,0.0,0.0,0.42,0.58,12.0,7.0,5.0,6.0,2,0,5.0,1 - 1
Emelec,CD Tecnico Universitario,2020-11-15,3,3,0.0,0.0,0.68,0.32,17.0,12.0,5.0,5.0,4,8,6.0,1 - 1
Independiente del Valle,LDU Portoviejo,2020-11-15,4,4,0.0,0.0,0.73,0.27,16.0,10.0,6.0,5.0,7,3,8.0,2 - 3
CD Olmedo,Universidad Catolica,2020-11-15,2,3,0.0,0.0,0.53,0.47,22.0,18.0,3.0,5.0,1,13,5.0,2 - 1
CSD Macara,Orense SC,2020-11-14,2,4,0.0,0.0,0.6,0.4,10.0,15.0,3.0,3.0,14,15,6.0,0 - 1
Guayaquil City,Mushuc Runa SC,2020-11-14,5,5,0.0,0.0,0.51,0.49,15.0,16.0,6.0,5.0,11,6,10.0,3 - 2
LDU Portoviejo,Emelec,2020-11-11,4,1,0.0,0.0,0.48,0.52,16.0,20.0,2.0,9.0,3,4,5.0,0 - 6
