local,visitante,fecha,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,faltas_local,faltas_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,local_encoded,visitante_encoded,tarjetas_totales,score
Orense SC,Guayaquil City,2021-09-18,4,4,0.0,0.0,0.58,0.42,27.0,11.0,5.0,0.0,15,11,8.0,2 - 0
Barcelona SC,Deportivo Cuenca,2021-09-17,4,5,0.0,0.0,0.68,0.32,23.0,19.0,9.0,5.0,0,10,9.0,3 - 2
Universidad Catolica,Independiente del Valle,2021-09-13,2,3,0.0,0.0,0.43,0.57,13.0,12.0,9.0,10.0,13,7,5.0,1 - 3
Deportivo Cuenca,Delfin,2021-08-30,6,3,1.0,0.0,0.47,0.53,21.0,20.0,5.0,8.0,10,9,10.0,2 - 3
Independiente del Valle,Barcelona SC,2021-08-29,1,4,0.0,0.0,0.79,0.21,15.0,5.0,6.0,1.0,7,0,5.0,1 - 0
CSD Macara,Universidad Catolica,2021-08-29,1,3,0.0,0.0,0.42,0.58,11.0,14.0,3.0,4.0,14,13,4.0,1 - 2
Guayaquil City,CD Tecnico Universitario,2021-08-29,4,5,0.0,0.0,0.55,0.45,17.0,19.0,2.0,3.0,11,8,9.0,1 - 0
Aucas,9 De Octubre,2021-08-28,2,3,0.0,0.0,0.55,0.45,16.0,6.0,6.0,4.0,12,16,5.0,1 - 1
Emelec,CD Olmedo,2021-08-27,0,1,0.0,0.0,0.59,0.41,14.0,11.0,9.0,2.0,4,1,1.0,4 - 0
Barcelona SC,LDU de Quito,2021-08-23,3,7,0.0,0.0,0.58,0.42,16.0,18.0,4.0,3.0,0,5,10.0,0 - 2
Delfin,Independiente del Valle,2021-08-22,4,3,0.0,1.0,0.37,0.63,19.0,12.0,2.0,2.0,9,7,8.0,0 - 0
Aucas,Manta FC,2021-08-22,2,3,0.0,1.0,0.7,0.3,25.0,14.0,9.0,1.0,12,17,6.0,3 - 0
Orense SC,Deportivo Cuenca,2021-08-22,2,2,0.0,1.0,0.53,0.47,17.0,22.0,2.0,5.0,15,10,5.0,1 - 1
9 De Octubre,Emelec,2021-08-22,3,2,0.0,0.0,0.45,0.55,20.0,14.0,5.0,4.0,16,4,5.0,2 - 2
Universidad Catolica,Guayaquil City,2021-08-21,1,3,0.0,0.0,0.75,0.25,13.0,12.0,10.0,2.0,13,11,4.0,1 - 1
CSD Macara,Mushuc Runa SC,2021-08-20,3,1,1.0,0.0,0.47,0.53,15.0,19.0,2.0,12.0,14,6,5.0,1 - 1
CD Olmedo,9 De Octubre,2021-08-16,2,1,0.0,0.0,0.37,0.63,14.0,11.0,3.0,4.0,1,16,3.0,1 - 2
Orense SC,Barcelona SC,2021-08-15,0,2,0.0,0.0,0.52,0.48,19.0,12.0,2.0,3.0,15,0,2.0,1 - 0
Manta FC,Mushuc Runa SC,2021-08-15,1,4,0.0,0.0,0.56,0.44,17.0,19.0,3.0,1.0,17,6,5.0,0 - 0
Guayaquil City,Delfin,2021-08-14,3,5,0.0,0.0,0.51,0.49,14.0,18.0,5.0,2.0,11,9,8.0,2 - 1
Independiente del Valle,Aucas,2021-08-14,3,2,0.0,0.0,0.65,0.35,16.0,18.0,6.0,3.0,7,12,5.0,1 - 0
CD Tecnico Universitario,Universidad Catolica,2021-08-13,3,2,0.0,0.0,0.41,0.59,18.0,13.0,3.0,2.0,8,13,5.0,1 - 1
CSD Macara,CD Olmedo,2021-08-09,4,3,0.0,0.0,0.63,0.37,23.0,22.0,5.0,7.0,14,1,7.0,3 - 2
Delfin,Emelec,2021-08-08,2,1,0.0,0.0,0.35,0.65,16.0,15.0,4.0,3.0,9,4,3.0,1 - 2
9 De Octubre,CD Tecnico Universitario,2021-08-08,1,2,0.0,0.0,0.66,0.34,19.0,21.0,4.0,2.0,16,8,3.0,0 - 1
Aucas,Orense SC,2021-08-08,4,2,0.0,0.0,0.55,0.45,20.0,14.0,4.0,3.0,12,15,6.0,0 - 0
Barcelona SC,Guayaquil City,2021-08-08,3,3,0.0,0.0,0.55,0.45,22.0,10.0,4.0,2.0,0,11,6.0,2 - 1
Universidad Catolica,LDU de Quito,2021-08-07,4,2,1.0,0.0,0.35,0.65,11.0,10.0,5.0,2.0,13,5,7.0,2 - 2
Deportivo Cuenca,Manta FC,2021-08-06,2,4,0.0,0.0,0.62,0.38,17.0,21.0,2.0,2.0,10,17,6.0,1 - 0
LDU de Quito,CD Olmedo,2021-08-03,1,1,0.0,0.0,0.79,0.21,17.0,8.0,11.0,2.0,5,1,2.0,4 - 0
LDU de Quito,CD Olmedo,2021-08-02,1,1,0.0,0.0,0.79,0.21,17.0,8.0,11.0,2.0,5,1,2.0,4 - 0
Emelec,Aucas,2021-08-01,4,2,0.0,0.0,0.52,0.48,20.0,22.0,6.0,5.0,4,12,6.0,2 - 2
Independiente del Valle,CSD Macara,2021-08-01,5,3,0.0,1.0,0.58,0.42,16.0,12.0,8.0,5.0,7,14,9.0,4 - 0
Orense SC,Delfin,2021-08-01,2,3,0.0,1.0,0.7,0.3,13.0,20.0,6.0,5.0,15,9,6.0,2 - 2
CD Tecnico Universitario,Barcelona SC,2021-07-31,1,1,0.0,0.0,0.37,0.63,18.0,14.0,2.0,3.0,8,0,2.0,1 - 2
Mushuc Runa SC,9 De Octubre,2021-07-31,0,3,0.0,0.0,0.62,0.38,8.0,13.0,3.0,4.0,6,16,3.0,1 - 2
Manta FC,Universidad Catolica,2021-07-30,4,5,0.0,0.0,0.56,0.44,17.0,26.0,3.0,2.0,17,13,9.0,0 - 1
Delfin,CD Tecnico Universitario,2021-07-26,1,0,0.0,0.0,0.59,0.41,11.0,16.0,7.0,4.0,9,8,1.0,1 - 1
Barcelona SC,Manta FC,2021-07-25,4,0,1.0,2.0,0.73,0.27,18.0,16.0,7.0,2.0,0,17,7.0,2 - 0
9 De Octubre,LDU de Quito,2021-07-25,1,1,0.0,0.0,0.55,0.45,15.0,14.0,5.0,2.0,16,5,2.0,4 - 1
Independiente del Valle,Orense SC,2021-07-25,2,4,0.0,0.0,0.57,0.43,8.0,17.0,7.0,3.0,7,15,6.0,3 - 2
Deportivo Cuenca,Emelec,2021-07-25,1,4,0.0,0.0,0.57,0.43,16.0,16.0,5.0,2.0,10,4,5.0,0 - 1
CSD Macara,Guayaquil City,2021-07-24,4,5,0.0,0.0,0.47,0.53,14.0,14.0,6.0,3.0,14,11,9.0,0 - 2
CD Olmedo,Universidad Catolica,2021-07-24,0,2,0.0,0.0,0.42,0.58,12.0,22.0,0.0,5.0,1,13,2.0,0 - 3
Aucas,Mushuc Runa SC,2021-07-23,2,4,0.0,0.0,0.6,0.4,15.0,13.0,2.0,2.0,12,6,6.0,1 - 1
9 De Octubre,Universidad Catolica,2021-07-19,3,2,0.0,0.0,0.59,0.41,23.0,12.0,3.0,1.0,16,13,5.0,1 - 0
Manta FC,Emelec,2021-07-18,1,2,0.0,0.0,0.45,0.55,16.0,22.0,3.0,6.0,17,4,3.0,0 - 4
Barcelona SC,CSD Macara,2021-07-18,1,2,0.0,0.0,0.75,0.25,12.0,22.0,8.0,1.0,0,14,3.0,3 - 0
Independiente del Valle,Deportivo Cuenca,2021-07-18,1,3,0.0,0.0,0.69,0.31,17.0,16.0,3.0,4.0,7,10,4.0,0 - 0
Aucas,Guayaquil City,2021-07-17,2,3,0.0,0.0,0.58,0.42,13.0,15.0,6.0,0.0,12,11,5.0,3 - 0
Orense SC,CD Olmedo,2021-07-17,3,3,0.0,0.0,0.69,0.31,26.0,22.0,4.0,2.0,15,1,6.0,0 - 0
Barcelona SC,Emelec,2021-07-10,3,3,0.0,0.0,0.6,0.4,17.0,21.0,6.0,2.0,0,4,6.0,1 - 1
Universidad Catolica,Barcelona SC,2021-05-30,2,1,0.0,0.0,0.47,0.53,14.0,10.0,5.0,4.0,13,0,3.0,2 - 0
Emelec,Independiente del Valle,2021-05-30,2,2,1.0,0.0,0.51,0.49,13.0,16.0,3.0,5.0,4,7,5.0,0 - 0
LDU de Quito,Orense SC,2021-05-30,2,2,0.0,0.0,0.69,0.31,12.0,13.0,9.0,2.0,5,15,4.0,2 - 1
CSD Macara,Aucas,2021-05-30,3,2,0.0,1.0,0.41,0.59,17.0,20.0,4.0,5.0,14,12,6.0,1 - 0
Deportivo Cuenca,CD Tecnico Universitario,2021-05-29,4,4,0.0,0.0,0.4,0.6,26.0,18.0,1.0,3.0,10,8,8.0,1 - 0
Guayaquil City,Mushuc Runa SC,2021-05-29,1,0,0.0,0.0,0.6,0.4,15.0,13.0,2.0,1.0,11,6,1.0,0 - 0
Delfin,9 De Octubre,2021-05-29,1,2,0.0,0.0,0.47,0.53,12.0,10.0,3.0,7.0,9,16,3.0,2 - 2
CD Olmedo,Manta FC,2021-05-28,2,4,0.0,0.0,0.52,0.48,14.0,17.0,3.0,4.0,1,17,6.0,1 - 1
CSD Macara,CD Tecnico Universitario,2021-05-24,2,2,0.0,0.0,0.52,0.48,28.0,19.0,4.0,3.0,14,8,4.0,1 - 1
Barcelona SC,CD Olmedo,2021-05-23,4,3,0.0,0.0,0.63,0.37,24.0,17.0,6.0,5.0,0,1,7.0,4 - 0
Delfin,LDU de Quito,2021-05-23,1,1,0.0,0.0,0.31,0.69,12.0,14.0,7.0,3.0,9,5,2.0,1 - 1
Aucas,Deportivo Cuenca,2021-05-23,3,3,0.0,0.0,0.51,0.49,18.0,14.0,6.0,4.0,12,10,6.0,2 - 0
Mushuc Runa SC,Emelec,2021-05-22,2,2,0.0,0.0,0.53,0.47,10.0,17.0,2.0,5.0,6,4,4.0,1 - 2
Independiente del Valle,Guayaquil City,2021-05-22,2,1,0.0,0.0,0.48,0.52,23.0,13.0,9.0,0.0,7,11,3.0,3 - 0
Orense SC,Universidad Catolica,2021-05-22,4,5,0.0,0.0,0.52,0.48,17.0,21.0,3.0,10.0,15,13,9.0,0 - 3
9 De Octubre,Manta FC,2021-05-21,4,3,0.0,0.0,0.56,0.44,17.0,20.0,5.0,1.0,16,17,7.0,2 - 0
CD Tecnico Universitario,Orense SC,2021-05-17,1,1,0.0,0.0,0.58,0.42,13.0,14.0,8.0,2.0,8,15,2.0,1 - 2
LDU de Quito,Aucas,2021-05-16,6,3,0.0,0.0,0.67,0.33,11.0,20.0,4.0,7.0,5,12,9.0,1 - 3
Universidad Catolica,Delfin,2021-05-15,0,1,0.0,0.0,0.62,0.38,7.0,8.0,3.0,4.0,13,9,1.0,0 - 1
CD Olmedo,Independiente del Valle,2021-05-15,1,4,0.0,0.0,0.36,0.64,9.0,12.0,4.0,6.0,1,7,5.0,1 - 3
Deportivo Cuenca,Mushuc Runa SC,2021-05-14,4,5,0.0,0.0,0.5,0.5,12.0,17.0,3.0,6.0,10,6,9.0,1 - 2
Guayaquil City,Manta FC,2021-05-10,2,1,1.0,0.0,0.43,0.57,22.0,12.0,0.0,5.0,11,17,4.0,0 - 3
Aucas,CD Tecnico Universitario,2021-05-09,3,3,0.0,0.0,0.61,0.39,17.0,14.0,4.0,7.0,12,8,6.0,0 - 2
Delfin,CD Olmedo,2021-05-09,0,0,0.0,0.0,0.63,0.37,16.0,13.0,6.0,6.0,9,1,0.0,2 - 4
Mushuc Runa SC,Universidad Catolica,2021-05-09,1,2,0.0,0.0,0.58,0.42,16.0,17.0,2.0,6.0,6,13,3.0,2 - 6
Independiente del Valle,LDU de Quito,2021-05-08,4,2,0.0,0.0,0.52,0.48,25.0,15.0,6.0,2.0,7,5,6.0,3 - 1
Orense SC,9 De Octubre,2021-05-08,4,4,0.0,0.0,0.56,0.44,20.0,16.0,5.0,4.0,15,16,8.0,3 - 1
CSD Macara,Deportivo Cuenca,2021-05-07,5,1,1.0,0.0,0.43,0.57,28.0,19.0,3.0,8.0,14,10,7.0,1 - 0
CD Olmedo,Guayaquil City,2021-05-03,0,0,1.0,1.0,0.6,0.4,14.0,15.0,5.0,4.0,1,11,2.0,0 - 0
Manta FC,Independiente del Valle,2021-05-02,5,2,0.0,0.0,0.36,0.64,17.0,14.0,2.0,7.0,17,7,7.0,2 - 1
Orense SC,Emelec,2021-05-02,1,1,0.0,0.0,0.53,0.47,14.0,12.0,4.0,5.0,15,4,2.0,2 - 3
CD Tecnico Universitario,Mushuc Runa SC,2021-05-02,2,1,0.0,0.0,0.54,0.46,21.0,15.0,8.0,6.0,8,6,3.0,1 - 3
Barcelona SC,Delfin,2021-05-02,1,4,0.0,0.0,0.58,0.42,11.0,15.0,7.0,3.0,0,9,5.0,2 - 1
LDU de Quito,CSD Macara,2021-05-01,4,1,0.0,0.0,0.52,0.48,16.0,13.0,10.0,8.0,5,14,5.0,2 - 1
9 De Octubre,Deportivo Cuenca,2021-05-01,3,2,0.0,1.0,0.62,0.38,18.0,17.0,7.0,4.0,16,10,6.0,2 - 1
Universidad Catolica,Aucas,2021-05-01,4,2,0.0,0.0,0.52,0.48,18.0,19.0,3.0,2.0,13,12,6.0,1 - 1
Manta FC,Delfin,2021-04-19,4,3,0.0,0.0,0.44,0.56,22.0,26.0,3.0,6.0,17,9,7.0,1 - 2
Emelec,CD Tecnico Universitario,2021-04-18,0,1,0.0,0.0,0.58,0.42,13.0,9.0,3.0,3.0,4,8,1.0,2 - 0
Independiente del Valle,9 De Octubre,2021-04-18,1,2,0.0,0.0,0.65,0.35,13.0,10.0,8.0,3.0,7,16,3.0,2 - 1
Guayaquil City,LDU de Quito,2021-04-18,2,5,0.0,0.0,0.42,0.58,22.0,20.0,4.0,3.0,11,5,7.0,2 - 2
Aucas,CD Olmedo,2021-04-17,1,1,0.0,0.0,0.47,0.53,13.0,7.0,3.0,4.0,12,1,2.0,1 - 3
CSD Macara,Orense SC,2021-04-17,5,3,1.0,0.0,0.52,0.48,18.0,17.0,7.0,4.0,14,15,9.0,1 - 0
Universidad Catolica,Emelec,2021-04-14,2,3,1.0,0.0,0.0,0.0,16.0,14.0,5.0,5.0,13,4,6.0,2 - 3
LDU de Quito,Manta FC,2021-04-14,1,3,0.0,0.0,0.65,0.35,18.0,19.0,3.0,2.0,5,17,4.0,1 - 0
Delfin,CSD Macara,2021-04-14,2,2,0.0,0.0,0.52,0.48,22.0,15.0,3.0,2.0,9,14,4.0,2 - 0
CD Olmedo,Deportivo Cuenca,2021-04-13,5,3,0.0,0.0,0.45,0.55,25.0,21.0,6.0,4.0,1,10,8.0,2 - 2
9 De Octubre,Guayaquil City,2021-04-13,3,4,0.0,0.0,0.4,0.6,24.0,12.0,5.0,2.0,16,11,7.0,4 - 0
Orense SC,Mushuc Runa SC,2021-04-12,3,1,0.0,0.0,0.6,0.4,16.0,24.0,4.0,2.0,15,6,4.0,0 - 2
Manta FC,CD Tecnico Universitario,2021-04-09,5,3,0.0,0.0,0.49,0.51,22.0,22.0,1.0,4.0,17,8,8.0,0 - 2
CD Tecnico Universitario,Guayaquil City,2021-04-04,2,4,0.0,0.0,0.52,0.48,11.0,12.0,9.0,2.0,8,11,6.0,3 - 0
9 De Octubre,Aucas,2021-04-04,4,2,0.0,0.0,0.52,0.48,19.0,16.0,4.0,4.0,16,12,6.0,1 - 3
Orense SC,Manta FC,2021-04-04,3,2,0.0,0.0,0.67,0.33,17.0,10.0,3.0,2.0,15,17,5.0,0 - 1
LDU de Quito,Mushuc Runa SC,2021-04-03,2,3,0.0,0.0,0.68,0.32,14.0,13.0,5.0,5.0,5,6,5.0,0 - 0
Universidad Catolica,CSD Macara,2021-04-02,4,1,0.0,0.0,0.48,0.52,20.0,15.0,2.0,3.0,13,14,5.0,1 - 1
Universidad Catolica,CSD Macara,2021-04-01,4,1,0.0,0.0,0.48,0.52,20.0,15.0,2.0,3.0,13,14,5.0,1 - 1
CD Tecnico Universitario,Independiente del Valle,2021-04-01,1,3,0.0,0.0,0.47,0.53,15.0,23.0,2.0,3.0,8,7,4.0,0 - 2
Guayaquil City,Orense SC,2021-03-31,2,6,0.0,1.0,0.55,0.45,8.0,17.0,5.0,5.0,11,15,9.0,4 - 1
Aucas,Delfin,2021-03-31,4,2,0.0,0.0,0.65,0.35,13.0,12.0,8.0,5.0,12,9,6.0,3 - 3
Deportivo Cuenca,Orense SC,2021-03-22,4,3,0.0,0.0,0.46,0.54,22.0,11.0,5.0,4.0,10,15,7.0,1 - 0
Emelec,9 De Octubre,2021-03-21,2,3,0.0,0.0,0.62,0.38,18.0,13.0,5.0,3.0,4,16,5.0,0 - 1
Guayaquil City,Universidad Catolica,2021-03-21,0,0,0.0,0.0,0.46,0.54,14.0,15.0,5.0,8.0,11,13,0.0,1 - 2
Manta FC,Aucas,2021-03-21,3,2,0.0,0.0,0.42,0.58,18.0,20.0,4.0,6.0,17,12,5.0,1 - 1
Independiente del Valle,Delfin,2021-03-20,1,3,0.0,0.0,0.68,0.32,12.0,16.0,4.0,1.0,7,9,4.0,2 - 0
Mushuc Runa SC,CSD Macara,2021-03-20,5,3,0.0,0.0,0.46,0.54,23.0,20.0,2.0,1.0,6,14,8.0,0 - 0
CD Tecnico Universitario,CD Olmedo,2021-03-19,2,2,0.0,0.0,0.48,0.52,26.0,19.0,5.0,0.0,8,1,4.0,0 - 0
Barcelona SC,Orense SC,2021-03-14,2,3,0.0,0.0,0.6,0.4,15.0,14.0,7.0,5.0,0,15,5.0,2 - 0
Mushuc Runa SC,Manta FC,2021-03-14,2,4,0.0,0.0,0.63,0.37,15.0,20.0,7.0,3.0,6,17,6.0,4 - 2
Delfin,Guayaquil City,2021-03-13,1,3,0.0,0.0,0.5,0.5,21.0,13.0,10.0,3.0,9,11,4.0,1 - 1
CSD Macara,Emelec,2021-03-11,3,3,0.0,0.0,0.43,0.57,26.0,21.0,5.0,3.0,14,4,6.0,1 - 1
Guayaquil City,Barcelona SC,2021-03-07,4,2,0.0,0.0,0.39,0.61,26.0,21.0,4.0,7.0,11,0,6.0,0 - 3
Manta FC,Deportivo Cuenca,2021-03-07,3,5,0.0,0.0,0.5,0.5,25.0,25.0,5.0,1.0,17,10,8.0,1 - 0
Emelec,Delfin,2021-03-07,4,2,0.0,0.0,0.66,0.34,16.0,17.0,1.0,5.0,4,9,6.0,1 - 0
LDU de Quito,Universidad Catolica,2021-03-06,5,4,0.0,0.0,0.47,0.53,16.0,20.0,4.0,4.0,5,13,9.0,2 - 1
Orense SC,Aucas,2021-03-06,3,3,0.0,0.0,0.65,0.35,10.0,23.0,3.0,4.0,15,12,6.0,2 - 2
Delfin,Orense SC,2021-03-01,5,4,0.0,0.0,0.55,0.45,19.0,18.0,2.0,6.0,9,15,9.0,1 - 1
CSD Macara,Independiente del Valle,2021-02-28,2,4,0.0,0.0,0.3,0.7,17.0,18.0,7.0,6.0,14,7,6.0,3 - 1
Aucas,Emelec,2021-02-27,3,3,0.0,0.0,0.42,0.58,19.0,13.0,6.0,5.0,12,4,6.0,2 - 3
Universidad Catolica,Manta FC,2021-02-27,1,1,0.0,0.0,0.55,0.45,20.0,12.0,7.0,10.0,13,17,2.0,3 - 3
CSD Macara,Independiente del Valle,2021-02-27,2,3,0.0,0.0,0.3,0.7,15.0,15.0,7.0,6.0,14,7,5.0,3 - 1
Deportivo Cuenca,Guayaquil City,2021-02-27,3,2,0.0,0.0,0.33,0.67,14.0,9.0,4.0,2.0,10,11,5.0,3 - 0
Deportivo Cuenca,Guayaquil City,2021-02-26,3,2,0.0,0.0,0.33,0.67,14.0,9.0,4.0,2.0,10,11,5.0,3 - 0
Emelec,Deportivo Cuenca,2021-02-21,3,5,1.0,0.0,0.74,0.26,21.0,19.0,8.0,5.0,4,10,9.0,4 - 1
CD Tecnico Universitario,Delfin,2021-02-21,1,1,0.0,0.0,0.6,0.4,14.0,14.0,5.0,5.0,8,9,2.0,0 - 1
Orense SC,Independiente del Valle,2021-02-21,0,3,0.0,0.0,0.32,0.68,13.0,10.0,1.0,3.0,15,7,3.0,2 - 0
Guayaquil City,CSD Macara,2021-02-20,4,3,0.0,0.0,0.44,0.56,15.0,17.0,5.0,8.0,11,14,7.0,3 - 1
Mushuc Runa SC,Aucas,2021-02-20,0,3,0.0,0.0,0.57,0.43,11.0,25.0,6.0,5.0,6,12,3.0,1 - 3
LDU de Quito,9 De Octubre,2021-02-19,1,1,0.0,0.0,0.54,0.46,16.0,11.0,5.0,4.0,5,16,2.0,4 - 2
CSD Macara,Mushuc Runa SC,2022-09-04,4,3,0.0,1.0,0.46,0.54,15.0,8.0,3.0,4.0,14,6,8.0,3 - 0
CD Tecnico Universitario,Orense SC,2022-08-29,3,4,0.0,0.0,0.44,0.56,10.0,10.0,5.0,0.0,8,15,7.0,2 - 0
Barcelona SC,LDU de Quito,2022-08-29,3,2,0.0,1.0,0.37,0.63,15.0,6.0,3.0,5.0,0,5,6.0,1 - 1
Mushuc Runa SC,Gualaceo SC,2022-08-28,0,0,0.0,0.0,0.41,0.59,9.0,10.0,2.0,2.0,6,18,0.0,2 - 0
9 De Octubre,Emelec,2022-08-28,1,1,1.0,0.0,0.48,0.52,9.0,10.0,2.0,4.0,16,4,3.0,0 - 3
Aucas,Guayaquil City,2022-08-27,2,2,1.0,2.0,0.42,0.58,12.0,7.0,5.0,3.0,12,11,7.0,2 - 1
Guayaquil City,Independiente del Valle,2022-08-22,2,5,0.0,0.0,0.53,0.47,7.0,15.0,1.0,1.0,11,7,7.0,0 - 1
CSD Macara,Aucas,2022-08-21,1,4,1.0,1.0,0.44,0.56,6.0,12.0,5.0,4.0,14,12,7.0,1 - 1
LDU de Quito,Cumbayá,2022-08-20,1,3,0.0,0.0,0.61,0.39,16.0,21.0,4.0,1.0,5,19,4.0,1 - 0
Cumbayá,CSD Macara,2022-08-14,4,2,0.0,0.0,0.39,0.61,12.0,14.0,2.0,6.0,19,14,6.0,1 - 0
Barcelona SC,Universidad Catolica,2022-08-14,3,2,0.0,0.0,0.49,0.51,8.0,12.0,5.0,3.0,0,13,5.0,0 - 0
9 De Octubre,Aucas,2022-08-14,3,8,1.0,0.0,0.52,0.48,5.0,19.0,2.0,3.0,16,12,12.0,1 - 2
Mushuc Runa SC,Orense SC,2022-08-13,2,5,0.0,0.0,0.45,0.55,18.0,16.0,2.0,3.0,6,15,7.0,1 - 1
Gualaceo SC,9 De Octubre,2022-08-08,7,3,0.0,0.0,0.54,0.46,12.0,10.0,4.0,1.0,18,16,10.0,1 - 0
Barcelona SC,Mushuc Runa SC,2022-08-07,2,4,0.0,0.0,0.61,0.39,11.0,10.0,5.0,5.0,0,6,6.0,4 - 1
Guayaquil City,CSD Macara,2022-08-06,2,3,0.0,0.0,0.64,0.36,10.0,11.0,2.0,3.0,11,14,5.0,0 - 0
Orense SC,Independiente del Valle,2022-08-06,2,2,0.0,0.0,0.52,0.48,5.0,8.0,2.0,4.0,15,7,4.0,1 - 2
CD Tecnico Universitario,Cumbayá,2022-08-05,1,3,0.0,0.0,0.53,0.47,16.0,26.0,4.0,6.0,8,19,4.0,3 - 3
9 De Octubre,Orense SC,2022-08-01,3,2,0.0,0.0,0.56,0.44,15.0,13.0,0.0,1.0,16,15,5.0,0 - 0
CSD Macara,Universidad Catolica,2022-07-31,3,2,1.0,0.0,0.46,0.54,11.0,13.0,4.0,5.0,14,13,6.0,1 - 3
Independiente del Valle,Barcelona SC,2022-07-31,3,4,0.0,0.0,0.66,0.34,14.0,8.0,3.0,1.0,7,0,7.0,1 - 1
CSD Macara,Delfin,2022-07-25,4,5,0.0,0.0,0.56,0.44,10.0,12.0,3.0,3.0,14,9,9.0,1 - 2
Universidad Catolica,LDU de Quito,2022-07-24,2,3,0.0,0.0,0.55,0.45,11.0,12.0,4.0,0.0,13,5,5.0,4 - 0
Guayaquil City,Emelec,2022-07-24,1,2,0.0,0.0,0.47,0.53,7.0,10.0,0.0,8.0,11,4,3.0,0 - 0
Orense SC,Cumbayá,2022-07-23,0,3,0.0,0.0,0.65,0.35,9.0,9.0,7.0,3.0,15,19,3.0,3 - 1
Delfin,Aucas,2022-07-18,1,5,1.0,0.0,0.47,0.53,5.0,18.0,1.0,4.0,9,12,7.0,0 - 0
CD Tecnico Universitario,Barcelona SC,2022-07-17,4,3,0.0,1.0,0.6,0.4,13.0,7.0,3.0,4.0,8,0,8.0,0 - 2
Orense SC,CSD Macara,2022-07-16,5,5,0.0,1.0,0.65,0.35,13.0,7.0,1.0,2.0,15,14,11.0,1 - 1
Deportivo Cuenca,Guayaquil City,2022-07-11,3,2,0.0,0.0,0.51,0.49,14.0,8.0,2.0,1.0,10,11,5.0,1 - 0
Independiente del Valle,Cumbayá,2022-07-10,3,2,0.0,0.0,0.58,0.42,21.0,17.0,4.0,5.0,7,19,5.0,2 - 0
9 De Octubre,CD Tecnico Universitario,2022-07-09,2,1,0.0,0.0,0.48,0.52,5.0,7.0,3.0,1.0,16,8,3.0,2 - 0
Universidad Catolica,Mushuc Runa SC,2022-07-08,3,4,0.0,0.0,0.0,0.0,12.0,10.0,2.0,4.0,13,6,7.0,2 - 1
Universidad Catolica,Delfin,2022-05-30,3,1,0.0,0.0,0.55,0.45,9.0,6.0,6.0,5.0,13,9,4.0,4 - 2
LDU de Quito,CSD Macara,2022-05-30,1,3,0.0,0.0,0.53,0.47,16.0,14.0,3.0,6.0,5,14,4.0,3 - 2
Barcelona SC,Cumbayá,2022-05-30,2,6,0.0,0.0,0.66,0.34,15.0,13.0,8.0,1.0,0,19,8.0,4 - 0
9 De Octubre,Independiente del Valle,2022-05-30,1,1,0.0,0.0,0.0,0.0,6.0,7.0,2.0,1.0,16,7,2.0,1 - 1
CD Tecnico Universitario,Emelec,2022-05-29,3,2,0.0,0.0,0.0,0.0,10.0,13.0,3.0,3.0,8,4,5.0,1 - 1
Orense SC,Guayaquil City,2022-05-28,2,5,0.0,1.0,0.54,0.46,12.0,10.0,6.0,1.0,15,11,8.0,0 - 1
Mushuc Runa SC,Deportivo Cuenca,2022-05-28,4,2,0.0,0.0,0.53,0.47,14.0,17.0,2.0,0.0,6,10,6.0,1 - 0
Gualaceo SC,Aucas,2022-05-28,4,4,1.0,0.0,0.58,0.42,7.0,14.0,4.0,6.0,18,12,9.0,1 - 4
Deportivo Cuenca,Orense SC,2022-05-23,2,4,0.0,0.0,0.49,0.51,7.0,7.0,4.0,2.0,10,15,6.0,1 - 1
Aucas,Barcelona SC,2022-05-22,2,4,0.0,0.0,0.4,0.6,17.0,10.0,3.0,2.0,12,0,6.0,2 - 1
CSD Macara,CD Tecnico Universitario,2022-05-22,4,6,0.0,0.0,0.0,0.0,11.0,20.0,5.0,3.0,14,8,10.0,3 - 1
Guayaquil City,LDU de Quito,2022-05-22,1,2,0.0,1.0,0.0,0.0,6.0,16.0,4.0,5.0,11,5,4.0,2 - 2
Emelec,Universidad Catolica,2022-05-21,3,1,0.0,0.0,0.53,0.47,9.0,2.0,2.0,2.0,4,13,4.0,0 - 1
Delfin,Gualaceo SC,2022-05-21,1,3,0.0,0.0,0.0,0.0,12.0,8.0,7.0,0.0,9,18,4.0,1 - 0
Gualaceo SC,Guayaquil City,2022-05-16,3,3,0.0,0.0,0.48,0.52,18.0,9.0,4.0,1.0,18,11,6.0,2 - 1
Orense SC,Emelec,2022-05-15,3,2,0.0,0.0,0.44,0.56,9.0,9.0,5.0,1.0,15,4,5.0,2 - 0
CD Tecnico Universitario,Independiente del Valle,2022-05-15,5,4,1.0,1.0,0.5,0.5,14.0,15.0,4.0,3.0,8,7,11.0,2 - 3
LDU de Quito,Delfin,2022-05-14,2,0,0.0,1.0,0.0,0.0,7.0,9.0,4.0,2.0,5,9,3.0,3 - 2
Mushuc Runa SC,Aucas,2022-05-14,3,3,0.0,0.0,0.0,0.0,12.0,8.0,1.0,4.0,6,12,6.0,1 - 1
