fecha,estadio,local,visitante,score,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,fuera_de_juego_local,fuera_de_juego_visitante,corners_local,corners_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,tiros_fuera_local,tiros_fuera_visitante,intentos_a_porteria_local,intentos_a_porteria_visitante,atajadas_local,atajadas_visitante,faltas_local,faltas_visitante,penales_local,penales_visitante,tiros_bloqueados_local,tiros_bloqueados_visitante,ataques_peligrosos_local,ataques_peligrosos_visitante,ataques_local,ataques_visitante,faltas_totales,tarjetas_amarillas_totales,tarjetas_rojas_totales,tarjetas_totales,tiros_esquina_totales,avg_local_corners_local,avg_visitante_corners_visitante,avg_visitante_corners_conceded,avg_local_corners_conceded,expected_corners,diff_corners_strength,equipo_local_id,equipo_visitante_id,local_avg_last5,visitante_avg_last5,local_corner_category,visitante_corner_category,ratio_ataques_peligrosos,eficiencia_corner_local,local_avg_last3,visitante_avg_last3,diff_last3_vs_last5_local,diff_last3_vs_last5_visitante,consistencia_corners_local,last3_vs_media_liga,local_last1,visitante_last1,corners_vs_rival,posesion_x_ataques_peligrosos,ratio_corners_last5
2020-12-12,Estadio Reales Tamarindos,LDU Portoviejo,Mushuc Runa SC,0 - 0,2,4,0.0,0.0,0.6,0.4,2.0,0.0,8,2,3.0,1.0,6.0,2.0,9.0,3.0,1.0,3.0,22.0,18.0,0.0,0.0,2.0,1.0,44.0,32.0,101.0,85.0,40.0,6,0.0,6.0,10,3.8,4.5625,5.578125,5.2,4.18125,-1.7781250000000002,3,6,8.0,4.5,2,1,1.3749999570312514,2.666665777778074,8.0,4.5,0.0,0.0,0.9999998750000157,1.5466393352023233,3.8,7.0,7.5,26.4,1.7777773827161372
2020-12-12,Estadio 9 de Mayo,Orense SC,CD Tecnico Universitario,1 - 0,4,1,0.0,0.0,0.54,0.46,1.0,0.0,2,6,2.0,4.0,3.0,3.0,5.0,7.0,4.0,1.0,20.0,17.0,0.0,0.0,1.0,0.0,38.0,38.0,87.0,81.0,37.0,5,0.0,5.0,8,5.6521739130434785,4.120689655172414,4.568965517241379,3.449275362318841,4.8864317841079465,1.0832083958020995,15,8,2.5,6.0,0,1,0.9999999736842113,0.99999950000025,2.5,6.0,0.0,0.0,0.99999960000016,0.483324792250726,3.0,4.120689655172414,8.0,20.520000000000003,0.41666659722223376
2020-12-11,Estadio Olímpico Atahualpa,Universidad Catolica,Delfin,0 - 0,4,1,0.0,0.0,0.73,0.27,1.0,1.0,4,5,4.0,2.0,13.0,6.0,17.0,8.0,2.0,4.0,13.0,16.0,0.0,0.0,0.0,3.0,81.0,41.0,114.0,71.0,29.0,5,0.0,5.0,9,5.233333333333333,3.456140350877193,5.964912280701754,3.783333333333333,4.344736842105263,-0.7315789473684209,13,9,4.0,5.0,1,1,1.9756097079119586,0.9999997500000625,4.0,5.0,0.0,0.0,0.9999997500000625,0.7733196676011617,5.233333333333333,3.456140350877193,5.0,59.129999999999995,0.799999840000032
2020-12-11,Estadio Olímpico de Riobamba,CD Olmedo,Deportivo Cuenca,1 - 1,4,4,0.0,0.0,0.56,0.44,1.0,0.0,3,8,4.0,8.0,7.0,2.0,11.0,10.0,7.0,3.0,20.0,20.0,0.0,0.0,0.0,1.0,59.0,42.0,89.0,78.0,40.0,8,0.0,8.0,11,4.15,3.542372881355932,5.338983050847458,4.65,3.8461864406779664,-1.1889830508474573,1,10,3.5,8.0,0,2,1.4047618713151937,0.7499998125000469,3.5,8.0,0.0,0.0,0.9999997142857959,0.6766547091510164,4.0,3.542372881355932,6.25,33.040000000000006,0.43749994531250685
2020-12-10,Estadio Monumental Banco Pichincha,Barcelona SC,Guayaquil City,2 - 0,2,3,0.0,0.0,0.54,0.46,3.0,0.0,8,2,5.0,4.0,10.0,0.0,15.0,4.0,4.0,3.0,13.0,18.0,0.0,0.0,0.0,1.0,57.0,28.0,95.0,84.0,31.0,5,0.0,5.0,10,5.672727272727273,2.358974358974359,6.051282051282051,3.8181818181818183,4.015850815850816,-0.37855477855477826,0,11,8.0,2.0,2,0,2.0357142130102064,1.599999680000064,8.0,2.0,0.0,0.0,0.9999998750000157,1.5466393352023233,8.0,2.358974358974359,3.0,30.78,3.999998000001
2020-12-09,Estadio Banco Guayaquil,Independiente del Valle,Emelec,3 - 0,3,2,0.0,0.0,0.62,0.38,2.0,6.0,8,3,11.0,0.0,9.0,3.0,20.0,3.0,0.0,8.0,16.0,5.0,0.0,0.0,1.0,1.0,43.0,33.0,93.0,80.0,21.0,5,0.0,5.0,11,6.046875,3.912280701754386,5.2631578947368425,3.359375,4.9795778508771935,0.7837171052631575,7,4,8.0,6.0,2,1,1.3030302635445377,0.7272726611570308,8.0,6.0,0.0,0.0,0.9999998750000157,1.5466393352023233,6.046875,9.0,6.0,26.66,1.3333331111111482
2020-12-09,Estadio Rodrigo Paz Delgado,LDU de Quito,LDU Portoviejo,1 - 1,4,3,1.0,0.0,0.72,0.28,1.0,3.0,10,1,7.0,6.0,11.0,6.0,18.0,12.0,5.0,7.0,13.0,16.0,0.0,0.0,4.0,1.0,88.0,31.0,105.0,64.0,29.0,7,1.0,8.0,11,5.970149253731344,2.8,5.3,3.4328358208955225,4.385074626865672,0.6701492537313438,5,3,9.0,1.0,2,0,2.8387095858480778,1.428571224489825,9.0,1.0,0.0,0.0,0.9999998888889013,1.7399692521026138,8.0,1.0,5.75,63.36,8.999991000009
2020-12-09,Estadio Olímpico Atahualpa,El Nacional,Aucas,2 - 2,1,2,0.0,0.0,0.5,0.5,0.0,5.0,3,6,5.0,8.0,11.0,7.0,16.0,15.0,6.0,3.0,20.0,15.0,0.0,0.0,1.0,0.0,56.0,44.0,95.0,82.0,35.0,3,0.0,3.0,9,5.318181818181818,4.0344827586206895,5.4655172413793105,4.613636363636363,4.6763322884012535,-0.14733542319749215,2,12,3.0,6.0,0,1,1.2727272438016537,0.599999880000024,3.0,6.0,0.0,0.0,0.9999996666667778,0.5799897507008712,5.318181818181818,4.0344827586206895,10.0,28.0,0.49999991666668053
2020-12-09,Estadio Jocay,Delfin,CD Olmedo,3 - 1,3,2,0.0,0.0,0.5,0.5,3.0,0.0,2,5,4.0,7.0,4.0,8.0,8.0,15.0,6.0,2.0,25.0,24.0,0.0,0.0,0.0,1.0,40.0,40.0,92.0,87.0,49.0,5,0.0,5.0,7,4.75,2.789473684210526,5.684210526315789,4.232142857142857,3.769736842105263,-0.9342105263157894,9,1,2.0,3.5,0,0,0.9999999750000007,0.49999987500003124,2.0,3.5,0.0,0.0,0.99999950000025,0.38665983380058083,2.0,2.0,3.5,20.0,0.571428408163312
2020-12-08,Estadio Bellavista de Ambato,CD Tecnico Universitario,Universidad Catolica,1 - 0,0,2,0.0,0.0,0.51,0.49,0.0,3.0,4,5,4.0,5.0,3.0,1.0,7.0,6.0,5.0,3.0,14.0,15.0,0.0,0.0,1.0,1.0,45.0,56.0,101.0,99.0,29.0,2,0.0,2.0,9,4.983870967741935,4.716666666666667,4.266666666666667,3.629032258064516,4.8502688172043005,0.7172043010752684,8,13,4.0,5.0,1,1,0.8035714142219391,0.9999997500000625,4.0,5.0,0.0,0.0,0.9999997500000625,0.7733196676011617,4.983870967741935,4.716666666666667,4.5,22.95,0.799999840000032
2020-12-08,Estadio Alejandro Serrano Aguilar Banco del Austro,Deportivo Cuenca,CSD Macara,2 - 1,5,2,0.0,0.0,0.4,0.6,2.0,3.0,0,9,4.0,6.0,0.0,6.0,4.0,12.0,5.0,2.0,17.0,11.0,1.0,0.0,0.0,2.0,23.0,51.0,70.0,103.0,28.0,7,0.0,7.0,9,4.672727272727273,4.6923076923076925,4.230769230769231,4.090909090909091,4.682517482517483,0.441958041958042,10,14,2.0,9.0,0,2,0.45098038331411017,0.0,2.0,9.0,0.0,0.0,0.99999950000025,0.38665983380058083,4.0,4.6923076923076925,3.0,9.200000000000001,0.22222219753086697
